criterion,max_depth,max_features,min_samples_leaf,min_samples_split,splitter,mean_test_score,std_test_score,rank_test_score
gini,50,log2,50,10,random,0.5,0.0,637
gini,50,log2,50,100,best,0.5857142857142856,0.08464947064110086,427
gini,50,log2,50,100,random,0.5,0.0,637
gini,50,log2,100,2,best,0.5,0.0,637
gini,50,log2,100,2,random,0.5,0.0,637
gini,50,log2,100,5,best,0.5,0.0,637
gini,50,log2,100,5,random,0.5,0.0,637
gini,50,log2,100,10,best,0.5,0.0,637
gini,50,log2,100,10,random,0.5,0.0,637
gini,50,log2,100,100,best,0.5,0.0,637
gini,50,log2,100,100,random,0.5,0.0,637
gini,50,,1,2,best,0.5904761904761905,0.11408712905438989,416
gini,50,,1,2,random,0.6666666666666667,0.1146818531313552,191
gini,50,,1,5,best,0.6142857142857144,0.09920317455237934,380
gini,50,,1,5,random,0.6571428571428571,0.08053111678708459,227
gini,50,,1,10,best,0.6047619047619047,0.09233675918888247,399
gini,50,,1,10,random,0.7190476190476189,0.06459361888690733,1
gini,50,,1,100,best,0.680952380952381,0.10711639884954278,131
gini,50,,1,100,random,0.6571428571428571,0.06317380553057907,227
gini,50,,5,2,best,0.6428571428571429,0.11664236870396086,248
gini,50,,5,2,random,0.7095238095238096,0.07882354932022308,4
gini,50,,5,5,best,0.6428571428571429,0.11664236870396086,248
gini,50,,5,5,random,0.7095238095238096,0.07882354932022308,4
gini,50,,5,10,best,0.6428571428571429,0.11664236870396086,248
gini,50,,5,10,random,0.7095238095238096,0.07882354932022308,4
gini,50,,5,100,best,0.680952380952381,0.10711639884954278,131
gini,50,,5,100,random,0.6619047619047619,0.06632565846278154,212
gini,50,,10,2,best,0.6714285714285715,0.12453996981544779,177
gini,50,,10,2,random,0.7095238095238094,0.08164965809277261,19
gini,50,,10,5,best,0.6714285714285715,0.12453996981544779,177
gini,50,,10,5,random,0.7095238095238094,0.08164965809277261,19
gini,50,,10,10,best,0.6714285714285715,0.12453996981544779,177
gini,50,,10,10,random,0.7095238095238094,0.08164965809277261,19
gini,50,,10,100,best,0.680952380952381,0.10711639884954278,131
gini,50,,10,100,random,0.6619047619047619,0.06632565846278154,212
gini,50,,50,2,best,0.6761904761904761,0.09110060223670947,141
gini,50,,50,2,random,0.5047619047619047,0.009523809523809533,597
gini,50,,50,5,best,0.6761904761904761,0.09110060223670947,141
gini,50,,50,5,random,0.5047619047619047,0.009523809523809533,597
gini,50,,50,10,best,0.6761904761904761,0.09110060223670947,141
gini,50,,50,10,random,0.5047619047619047,0.009523809523809533,597
gini,50,,50,100,best,0.6761904761904761,0.09110060223670947,141
gini,50,,50,100,random,0.5047619047619047,0.009523809523809533,597
gini,50,,100,2,best,0.5,0.0,637
gini,50,,100,2,random,0.5,0.0,637
gini,50,,100,5,best,0.5,0.0,637
gini,50,,100,5,random,0.5,0.0,637
gini,50,,100,10,best,0.5,0.0,637
gini,50,,100,10,random,0.5,0.0,637
gini,50,,100,100,best,0.5,0.0,637
gini,50,,100,100,random,0.5,0.0,637
gini,100,sqrt,1,2,best,0.6095238095238096,0.055532875189002844,393
gini,100,sqrt,1,2,random,0.6333333333333334,0.04416008807378908,263
gini,100,sqrt,1,5,best,0.6333333333333333,0.05345224838248489,271
gini,100,sqrt,1,5,random,0.6142857142857142,0.07284313590846835,385
gini,100,sqrt,1,10,best,0.5999999999999999,0.0628138378965377,406
gini,100,sqrt,1,10,random,0.5952380952380952,0.03984095364447979,412
gini,100,sqrt,1,100,best,0.7095238095238094,0.09689042833036098,19
gini,100,sqrt,1,100,random,0.5523809523809524,0.06632565846278154,477
gini,100,sqrt,5,2,best,0.619047619047619,0.12598815766974242,360
gini,100,sqrt,5,2,random,0.5095238095238095,0.019047619047619067,561
gini,100,sqrt,5,5,best,0.619047619047619,0.12598815766974242,360
gini,100,sqrt,5,5,random,0.5095238095238095,0.019047619047619067,561
gini,100,sqrt,5,10,best,0.619047619047619,0.12598815766974242,360
gini,100,sqrt,5,10,random,0.5095238095238095,0.019047619047619067,561
gini,100,sqrt,5,100,best,0.7095238095238094,0.09689042833036098,19
